split,group,day,angle,label,RGB,VNIR,VNIR_1000nm,VNIR_800nm
test,Pepper/I/Healthy/pot_13,23,15,2,RGB/Pepper/I/Healthy/H_23_RGB_15_13.tiff,VNIR/Pepper/I/Healthy/H_23_VNIR_15_13.png,VNIR_1000nm/Pepper/I/Healthy/H_23_VNIR_1000nm_15_13.png,VNIR_800nm/Pepper/I/Healthy/H_23_VNIR_800nm_15_13.png
test,Pepper/I/Healthy/pot_13,25,0,2,RGB/Pepper/I/Healthy/H_25_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_25_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_25_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_25_VNIR_800nm_0_13.png
test,Pepper/I/Healthy/pot_13,25,15,2,RGB/Pepper/I/Healthy/H_25_RGB_15_13.tiff,VNIR/Pepper/I/Healthy/H_25_VNIR_15_13.png,VNIR_1000nm/Pepper/I/Healthy/H_25_VNIR_1000nm_15_13.png,VNIR_800nm/Pepper/I/Healthy/H_25_VNIR_800nm_15_13.png
test,Pepper/I/Healthy/pot_13,27,0,2,RGB/Pepper/I/Healthy/H_27_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_27_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_27_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_27_VNIR_800nm_0_13.png
test,Pepper/I/Healthy/pot_13,27,15,2,RGB/Pepper/I/Healthy/H_27_RGB_15_13.tiff,VNIR/Pepper/I/Healthy/H_27_VNIR_15_13.png,VNIR_1000nm/Pepper/I/Healthy/H_27_VNIR_1000nm_15_13.png,VNIR_800nm/Pepper/I/Healthy/H_27_VNIR_800nm_15_13.png
test,Pepper/I/Healthy/pot_13,29,0,2,RGB/Pepper/I/Healthy/H_29_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_29_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_29_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_29_VNIR_800nm_0_13.png
test,Pepper/I/Healthy/pot_13,29,15,2,RGB/Pepper/I/Healthy/H_29_RGB_15_13.tiff,VNIR/Pepper/I/Healthy/H_29_VNIR_15_13.png,VNIR_1000nm/Pepper/I/Healthy/H_29_VNIR_1000nm_15_13.png,VNIR_800nm/Pepper/I/Healthy/H_29_VNIR_800nm_15_13.png
test,Pepper/I/Healthy/pot_2,1,0,2,RGB/Pepper/I/Healthy/H_1_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_1_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_1_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_1_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,3,5,2,RGB/Pepper/I/Healthy/H_3_RGB_5_2.tiff,VNIR/Pepper/I/Healthy/H_3_VNIR_5_2.png,VNIR_1000nm/Pepper/I/Healthy/H_3_VNIR_1000nm_5_2.png,VNIR_800nm/Pepper/I/Healthy/H_3_VNIR_800nm_5_2.png
test,Pepper/I/Healthy/pot_2,5,0,2,RGB/Pepper/I/Healthy/H_5_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_5_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_5_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_5_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,5,5,2,RGB/Pepper/I/Healthy/H_5_RGB_5_2.tiff,VNIR/Pepper/I/Healthy/H_5_VNIR_5_2.png,VNIR_1000nm/Pepper/I/Healthy/H_5_VNIR_1000nm_5_2.png,VNIR_800nm/Pepper/I/Healthy/H_5_VNIR_800nm_5_2.png
test,Pepper/I/Healthy/pot_2,9,0,2,RGB/Pepper/I/Healthy/H_9_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_9_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_9_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_9_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,9,5,2,RGB/Pepper/I/Healthy/H_9_RGB_5_2.tiff,VNIR/Pepper/I/Healthy/H_9_VNIR_5_2.png,VNIR_1000nm/Pepper/I/Healthy/H_9_VNIR_1000nm_5_2.png,VNIR_800nm/Pepper/I/Healthy/H_9_VNIR_800nm_5_2.png
test,Pepper/I/Healthy/pot_2,11,0,2,RGB/Pepper/I/Healthy/H_11_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_11_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_11_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_11_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,13,0,2,RGB/Pepper/I/Healthy/H_13_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_13_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_13_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_13_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,13,5,2,RGB/Pepper/I/Healthy/H_13_RGB_5_2.tiff,VNIR/Pepper/I/Healthy/H_13_VNIR_5_2.png,VNIR_1000nm/Pepper/I/Healthy/H_13_VNIR_1000nm_5_2.png,VNIR_800nm/Pepper/I/Healthy/H_13_VNIR_800nm_5_2.png
test,Pepper/I/Healthy/pot_2,15,0,2,RGB/Pepper/I/Healthy/H_15_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_15_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_15_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_15_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,15,5,2,RGB/Pepper/I/Healthy/H_15_RGB_5_2.tiff,VNIR/Pepper/I/Healthy/H_15_VNIR_5_2.png,VNIR_1000nm/Pepper/I/Healthy/H_15_VNIR_1000nm_5_2.png,VNIR_800nm/Pepper/I/Healthy/H_15_VNIR_800nm_5_2.png
test,Pepper/I/Healthy/pot_2,17,0,2,RGB/Pepper/I/Healthy/H_17_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_17_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_17_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_17_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,17,15,2,RGB/Pepper/I/Healthy/H_17_RGB_15_2.tiff,VNIR/Pepper/I/Healthy/H_17_VNIR_15_2.png,VNIR_1000nm/Pepper/I/Healthy/H_17_VNIR_1000nm_15_2.png,VNIR_800nm/Pepper/I/Healthy/H_17_VNIR_800nm_15_2.png
test,Pepper/I/Healthy/pot_2,19,0,2,RGB/Pepper/I/Healthy/H_19_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_19_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_19_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_19_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,19,15,2,RGB/Pepper/I/Healthy/H_19_RGB_15_2.tiff,VNIR/Pepper/I/Healthy/H_19_VNIR_15_2.png,VNIR_1000nm/Pepper/I/Healthy/H_19_VNIR_1000nm_15_2.png,VNIR_800nm/Pepper/I/Healthy/H_19_VNIR_800nm_15_2.png
test,Pepper/I/Healthy/pot_2,21,0,2,RGB/Pepper/I/Healthy/H_21_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_21_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_21_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_21_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,21,15,2,RGB/Pepper/I/Healthy/H_21_RGB_15_2.tiff,VNIR/Pepper/I/Healthy/H_21_VNIR_15_2.png,VNIR_1000nm/Pepper/I/Healthy/H_21_VNIR_1000nm_15_2.png,VNIR_800nm/Pepper/I/Healthy/H_21_VNIR_800nm_15_2.png
test,Pepper/I/Healthy/pot_2,23,0,2,RGB/Pepper/I/Healthy/H_23_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_23_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_23_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_23_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,23,15,2,RGB/Pepper/I/Healthy/H_23_RGB_15_2.tiff,VNIR/Pepper/I/Healthy/H_23_VNIR_15_2.png,VNIR_1000nm/Pepper/I/Healthy/H_23_VNIR_1000nm_15_2.png,VNIR_800nm/Pepper/I/Healthy/H_23_VNIR_800nm_15_2.png
test,Pepper/I/Healthy/pot_2,25,0,2,RGB/Pepper/I/Healthy/H_25_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_25_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_25_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_25_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,25,15,2,RGB/Pepper/I/Healthy/H_25_RGB_15_2.tiff,VNIR/Pepper/I/Healthy/H_25_VNIR_15_2.png,VNIR_1000nm/Pepper/I/Healthy/H_25_VNIR_1000nm_15_2.png,VNIR_800nm/Pepper/I/Healthy/H_25_VNIR_800nm_15_2.png
test,Pepper/I/Healthy/pot_2,27,0,2,RGB/Pepper/I/Healthy/H_27_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_27_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_27_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_27_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,27,15,2,RGB/Pepper/I/Healthy/H_27_RGB_15_2.tiff,VNIR/Pepper/I/Healthy/H_27_VNIR_15_2.png,VNIR_1000nm/Pepper/I/Healthy/H_27_VNIR_1000nm_15_2.png,VNIR_800nm/Pepper/I/Healthy/H_27_VNIR_800nm_15_2.png
test,Pepper/I/Healthy/pot_2,29,0,2,RGB/Pepper/I/Healthy/H_29_RGB_0_2.tiff,VNIR/Pepper/I/Healthy/H_29_VNIR_0_2.png,VNIR_1000nm/Pepper/I/Healthy/H_29_VNIR_1000nm_0_2.png,VNIR_800nm/Pepper/I/Healthy/H_29_VNIR_800nm_0_2.png
test,Pepper/I/Healthy/pot_2,29,15,2,RGB/Pepper/I/Healthy/H_29_RGB_15_2.tiff,VNIR/Pepper/I/Healthy/H_29_VNIR_15_2.png,VNIR_1000nm/Pepper/I/Healthy/H_29_VNIR_1000nm_15_2.png,VNIR_800nm/Pepper/I/Healthy/H_29_VNIR_800nm_15_2.png
test,Pepper/I/Healthy/pot_22,1,0,2,RGB/Pepper/I/Healthy/H_1_RGB_0_22.tiff,VNIR/Pepper/I/Healthy/H_1_VNIR_0_22.png,VNIR_1000nm/Pepper/I/Healthy/H_1_VNIR_1000nm_0_22.png,VNIR_800nm/Pepper/I/Healthy/H_1_VNIR_800nm_0_22.png
test,Pepper/I/Healthy/pot_22,5,0,2,RGB/Pepper/I/Healthy/H_5_RGB_0_22.tiff,VNIR/Pepper/I/Healthy/H_5_VNIR_0_22.png,VNIR_1000nm/Pepper/I/Healthy/H_5_VNIR_1000nm_0_22.png,VNIR_800nm/Pepper/I/Healthy/H_5_VNIR_800nm_0_22.png
test,Pepper/I/Healthy/pot_22,5,5,2,RGB/Pepper/I/Healthy/H_5_RGB_5_22.tiff,VNIR/Pepper/I/Healthy/H_5_VNIR_5_22.png,VNIR_1000nm/Pepper/I/Healthy/H_5_VNIR_1000nm_5_22.png,VNIR_800nm/Pepper/I/Healthy/H_5_VNIR_800nm_5_22.png
test,Pepper/I/Healthy/pot_22,9,0,2,RGB/Pepper/I/Healthy/H_9_RGB_0_22.tiff,VNIR/Pepper/I/Healthy/H_9_VNIR_0_22.png,VNIR_1000nm/Pepper/I/Healthy/H_9_VNIR_1000nm_0_22.png,VNIR_800nm/Pepper/I/Healthy/H_9_VNIR_800nm_0_22.png
test,Pepper/I/Healthy/pot_22,11,0,2,RGB/Pepper/I/Healthy/H_11_RGB_0_22.tiff,VNIR/Pepper/I/Healthy/H_11_VNIR_0_22.png,VNIR_1000nm/Pepper/I/Healthy/H_11_VNIR_1000nm_0_22.png,VNIR_800nm/Pepper/I/Healthy/H_11_VNIR_800nm_0_22.png
test,Pepper/I/Healthy/pot_22,11,5,2,RGB/Pepper/I/Healthy/H_11_RGB_5_22.tiff,VNIR/Pepper/I/Healthy/H_11_VNIR_5_22.png,VNIR_1000nm/Pepper/I/Healthy/H_11_VNIR_1000nm_5_22.png,VNIR_800nm/Pepper/I/Healthy/H_11_VNIR_800nm_5_22.png
test,Pepper/I/Healthy/pot_22,13,0,2,RGB/Pepper/I/Healthy/H_13_RGB_0_22.tiff,VNIR/Pepper/I/Healthy/H_13_VNIR_0_22.png,VNIR_1000nm/Pepper/I/Healthy/H_13_VNIR_1000nm_0_22.png,VNIR_800nm/Pepper/I/Healthy/H_13_VNIR_800nm_0_22.png
